16:45:20,069 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.074 | Ask: 127.082)| Slow 166666 (Bid:127.068 | Ask: 127.079) | Delta: -0.0050000
16:45:20,342 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.069 | Ask: 127.079)| Slow 166666 (Bid:127.071 | Ask: 127.079) | Delta: -0.0100000
16:45:28,633 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.057 | Ask: 127.068)| Slow 166666 (Bid:127.052 | Ask: 127.055) | Delta: 0.0020000
16:45:28,635 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.055 | Ask: 127.062)| Slow 166666 (Bid:127.052 | Ask: 127.055) | Delta: 0.0000000
16:45:32,526 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07143 | Ask: 1.0715)| Slow 166666 (Bid:1.07141 | Ask: 1.07142) | Delta: 0.0000100
16:45:32,616 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07139 | Ask: 1.07148)| Slow 166666 (Bid:1.07141 | Ask: 1.07142) | Delta: -0.0000300
16:45:32,647 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07139 | Ask: 1.07147)| Slow 166666 (Bid:1.07148 | Ask: 1.07149) | Delta: -0.0001000
16:45:32,757 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.25756 | Ask: 1.25768)| Slow 166666 (Bid:1.25769 | Ask: 1.25777) | Delta: -0.0002100
16:45:33,047 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07137 | Ask: 1.07146)| Slow 166666 (Bid:1.07138 | Ask: 1.07142) | Delta: -0.0000500
16:45:33,048 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.25756 | Ask: 1.25768)| Slow 166666 (Bid:1.25755 | Ask: 1.25766) | Delta: -0.0001000
16:45:48,327 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25737 | Ask: 1.2575)| Slow 166666 (Bid:1.25735 | Ask: 1.25736) | Delta: 0.0000100
16:45:48,598 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25737 | Ask: 1.2575)| Slow 166666 (Bid:1.25731 | Ask: 1.25743) | Delta: -0.0000600
16:45:48,615 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07133 | Ask: 1.07141)| Slow 166666 (Bid:1.07128 | Ask: 1.07131) | Delta: 0.0000200
16:45:48,616 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.0713 | Ask: 1.07138)| Slow 166666 (Bid:1.07128 | Ask: 1.07131) | Delta: -0.0000100
16:45:48,615 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.2573 | Ask: 1.25742)| Slow 166666 (Bid:1.25744 | Ask: 1.25754) | Delta: -0.0002400
16:45:48,616 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.0713 | Ask: 1.07138)| Slow 166666 (Bid:1.0714 | Ask: 1.07143) | Delta: -0.0001300
16:45:48,617 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07128 | Ask: 1.07138)| Slow 166666 (Bid:1.07134 | Ask: 1.07136) | Delta: -0.0000800
16:45:48,618 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.2573 | Ask: 1.25743)| Slow 166666 (Bid:1.25736 | Ask: 1.25749) | Delta: -0.0001900
16:45:58,170 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25742 | Ask: 1.25755)| Slow 166666 (Bid:1.25757 | Ask: 1.25758) | Delta: -0.0001600
16:45:58,174 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25744 | Ask: 1.25759)| Slow 166666 (Bid:1.25757 | Ask: 1.25758) | Delta: -0.0001400
