15:35:58,808 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.945 | Ask: 126.956)| Slow 26015101 (Bid:126.954 | Ask: 126.96) | Delta: -0.0150000
15:35:59,022 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.949 | Ask: 126.95)| Slow 26015101 (Bid:126.954 | Ask: 126.96) | Delta: -0.0110000
15:36:39,492 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.993)| Slow 26015101 (Bid:126.97 | Ask: 126.977) | Delta: 0.0050000
15:36:39,657 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.987 | Ask: 126.988)| Slow 26015101 (Bid:126.983 | Ask: 126.99) | Delta: -0.0030000
15:36:49,994 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.983)| Slow 26015101 (Bid:126.985 | Ask: 126.993) | Delta: -0.0110000
15:36:50,041 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.976 | Ask: 126.987)| Slow 26015101 (Bid:126.985 | Ask: 126.993) | Delta: -0.0170000
15:36:50,151 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.981 | Ask: 126.982)| Slow 26015101 (Bid:126.985 | Ask: 126.993) | Delta: -0.0120000
15:36:50,215 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.975 | Ask: 126.986)| Slow 26015101 (Bid:126.985 | Ask: 126.993) | Delta: -0.0180000
15:36:53,461 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.99 | Ask: 126.991)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0090000
15:36:53,481 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.988 | Ask: 126.998)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0110000
15:36:53,902 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.989 | Ask: 126.99)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0100000
15:36:53,920 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.984 | Ask: 126.994)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0150000
15:36:54,042 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.989 | Ask: 126.99)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0100000
15:36:54,167 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.983 | Ask: 126.993)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0160000
15:36:54,207 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.988 | Ask: 126.989)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0110000
15:36:54,293 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.994)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0170000
15:36:54,360 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.987 | Ask: 126.988)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0120000
15:36:54,387 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.983 | Ask: 126.993)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0160000
15:36:59,224 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.98 | Ask: 126.982)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0100000
15:36:59,292 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.976 | Ask: 126.987)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0140000
15:36:59,373 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.981 | Ask: 126.982)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0090000
15:36:59,451 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.975 | Ask: 126.986)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0150000
15:36:59,531 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.98 | Ask: 126.981)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0100000
15:36:59,620 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.976 | Ask: 126.986)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0140000
15:36:59,688 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.983 | Ask: 126.984)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0070000
15:36:59,810 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.992)| Slow 26015101 (Bid:126.985 | Ask: 126.99) | Delta: -0.0080000
15:37:06,874 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.984 | Ask: 126.985)| Slow 26015101 (Bid:126.986 | Ask: 126.992) | Delta: -0.0080000
15:37:07,032 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.984 | Ask: 126.986)| Slow 26015101 (Bid:126.986 | Ask: 126.992) | Delta: -0.0080000
15:37:07,656 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.978 | Ask: 126.98)| Slow 26015101 (Bid:126.983 | Ask: 126.988) | Delta: -0.0100000
15:37:07,812 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.977 | Ask: 126.978)| Slow 26015101 (Bid:126.979 | Ask: 126.987) | Delta: -0.0100000
15:37:07,825 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.972 | Ask: 126.983)| Slow 26015101 (Bid:126.979 | Ask: 126.987) | Delta: -0.0150000
15:37:07,826 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.972 | Ask: 126.983)| Slow 26015101 (Bid:126.983 | Ask: 126.988) | Delta: -0.0160000
15:37:08,133 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.979)| Slow 26015101 (Bid:126.983 | Ask: 126.988) | Delta: -0.0110000
15:37:08,235 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.972 | Ask: 126.983)| Slow 26015101 (Bid:126.983 | Ask: 126.988) | Delta: -0.0160000
15:37:10,171 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.971 | Ask: 126.973)| Slow 26015101 (Bid:126.974 | Ask: 126.98) | Delta: -0.0090000
15:37:10,372 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.969 | Ask: 126.972)| Slow 26015101 (Bid:126.969 | Ask: 126.974) | Delta: -0.0050000
15:37:13,459 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.978)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: 0.0010000
15:37:13,546 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.974 | Ask: 126.984)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: -0.0020000
15:37:13,636 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.978 | Ask: 126.979)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: 0.0020000
15:37:13,638 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.978 | Ask: 126.979)| Slow 26015101 (Bid:126.973 | Ask: 126.98) | Delta: -0.0020000
15:37:14,379 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.983)| Slow 26015101 (Bid:126.973 | Ask: 126.98) | Delta: 0.0020000
15:37:14,576 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.983)| Slow 26015101 (Bid:126.984 | Ask: 126.989) | Delta: -0.0070000
15:37:16,677 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.985 | Ask: 126.986)| Slow 26015101 (Bid:126.975 | Ask: 126.983) | Delta: 0.0020000
15:37:16,749 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.973 | Ask: 126.984)| Slow 26015101 (Bid:126.975 | Ask: 126.983) | Delta: -0.0100000
