16:36:50,803 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURPLN not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
17:02:24,340 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:24,342 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:24,345 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:25,345 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:25,347 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:25,442 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:26,442 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:26,444 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:26,447 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:27,443 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:27,447 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:27,542 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:28,546 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:28,548 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:29,568 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:29,646 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:29,648 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:31,188 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:31,191 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:31,193 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:32,124 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:32,126 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:33,570 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:33,573 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:33,771 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:34,367 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:34,369 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:34,487 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:35,080 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:35,083 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:35,287 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:36,284 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:36,286 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:36,289 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:37,526 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:37,529 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:38,370 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:38,373 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:38,375 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:39,415 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:39,417 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:39,420 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:40,210 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:40,304 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:41,314 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:41,317 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:41,319 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:42,250 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:42,354 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:43,351 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:43,353 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:43,356 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:44,352 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:44,451 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:44,454 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:45,454 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:45,456 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:46,553 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:46,556 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:47,553 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:47,556 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:47,653 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:48,654 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:48,656 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:48,660 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:49,154 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:49,655 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:49,658 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:49,754 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:50,755 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:50,757 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:50,760 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:51,754 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:51,855 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:51,858 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:52,856 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:52,858 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:52,860 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:53,956 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:53,958 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:54,956 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:54,960 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:55,057 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:56,057 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:56,059 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:56,061 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:57,060 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:57,063 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:57,160 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:57,659 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:57,661 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:57,664 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:58,159 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:58,161 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:59,260 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:59,262 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:00,261 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:00,264 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:00,267 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:01,361 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:01,363 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:01,365 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:02,361 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:03,462 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:03,464 | ERROR | FixApplication | FromApp field not found for tag: 273
