Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Min Order Size,Effective Date,Expiry Date,Quoted CCY,Margin Rate (%),Position Threshold (Contracts),LMAX Trading Hours
EUR/PLN,100519,EUR/PLN,10000,0.00001,0.1,0.1,05/07/2011,,PLN,2,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/RON,100930,EUR/RON,10000,0.00001,0.1,0.1,28/10/2016,,RON,2,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/RUB,100679,EUR/RUB,10000,0.00001,0.1,0.1,19/12/2013,,RUB,5,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/SEK,100525,EUR/SEK,10000,0.00001,0.1,0.1,05/07/2011,,SEK,1.5,450,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/SGD,100531,EUR/SGD,10000,0.00001,0.1,0.1,05/07/2011,,SGD,10,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/TRY,100537,EUR/TRY,10000,0.00001,0.1,0.1,16/09/2013,,TRY,3,15,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/USD,4001,EUR/USD,10000,0.00001,0.1,0.1,09/07/2010,,USD,1,2500,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/ZAR,100543,EUR/ZAR,10000,0.00001,0.1,0.1,05/07/2011,,ZAR,3,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
Europe 50,100101,EUR50,1,0.1,0.1,1,19/07/2010,,EUR,3,150,18:00 Sun - 17:00 Fri EST / EDT (except 17:00 - 18:00 daily)
France 40,100099,FCHI,1,0.1,0.1,1,19/07/2010,,EUR,3,160,18:00 Sun - 17:00 Fri EST / EDT (except 17:00 - 18:00 daily)
GBP/AUD,4017,GBP/AUD,10000,0.00001,0.1,0.1,09/07/2010,,AUD,1.5,1330,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
GBP/CAD,4014,GBP/CAD,10000,0.00001,0.1,0.1,09/07/2010,,CAD,1,1330,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
GBP/CHF,4012,GBP/CHF,10000,0.00001,0.1,0.1,09/07/2010,,CHF,2,608,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
GBP/CZK,100481,GBP/CZK,10000,0.0001,1,0.1,05/07/2011,,CZK,10,135,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
GBP/DKK,100487,GBP/DKK,10000,0.00001,0.1,0.1,05/07/2011,,DKK,10,670,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
GBP/HKD,100493,GBP/HKD,10000,0.00001,0.1,0.1,05/07/2011,,HKD,10,135,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
GBP/HUF,100499,GBP/HUF,10000,0.001,10,0.1,05/07/2011,,HUF,3,135,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
